"
Продукт ","
Бел, г ","
Жир, г ","
Угл, г ","
Кал, ккал "
Колбаса варено-копченая сервелат Останкино Зернистый ,10.0 ,37.0 ,0.0 ,385
Колбаса варено-копченая сервелат российский ,13.0 ,39.0 ,1.0 ,410
Колбаса вегетарианская ,21.7 ,12.3 ,1.8 ,207
Колбаса вегетарианская Велком Классическая ,4.0 ,5.0 ,9.0 ,100
Колбаса вегетарианская Велком с грибами ,4.0 ,5.0 ,8.0 ,90
Колбаса вегетарианская горячего копчения Московская Премиум ,20.0 ,22.0 ,8.0 ,210
Колбаса вегетарианская полукопченая Vego с сыром постная ,19.0 ,16.0 ,12.0 ,270
Колбаса ливерная ,14.4 ,28.5 ,2.2 ,326
Колбаса ливерная Атяшево Печеночная ,4.0 ,16.0 ,11.0 ,200
Колбаса ливерная баварская ,11.0 ,18.0 ,2.0 ,210
Колбаса ливерная Окраина традиционная ,13.0 ,19.0 ,6.0 ,250
Колбаса ливерная Рублёвский яичная ,11.0 ,34.0 ,4.0 ,370
Колбаса печеночная домашняя ,15.0 ,22.0 ,0.0 ,258
Колбаса полукопченая Вернер Краковская ,14.0 ,45.0 ,0.0 ,461
Колбаса полукопченая Дымов салями Финская ,10.0 ,47.0 ,0.0 ,463
Колбаса полукопченая закусочная ,15.0 ,33.0 ,2.3 ,366
Колбаса полукопченая краковская ,16.2 ,44.6 ,0.0 ,466
Колбаса полукопченая МД Бородина Краковская ,16.0 ,27.0 ,0.0 ,307
Колбаса полукопченая минская ,17.4 ,23.0 ,2.7 ,287
Колбаса полукопченая одесская ,14.8 ,38.1 ,0.3 ,402
Колбаса полукопченая Останкино салями Венская ,10.0 ,37.0 ,0.0 ,390
Колбаса полукопченая полтавская ,16.4 ,39.0 ,0.0 ,417
Колбаса полукопченая салями любительская ,12.0 ,50.0 ,0.0 ,498
Колбаса полукопченая таллиннская ,17.1 ,33.8 ,0.2 ,373
Колбаса полукопченая украинская ,16.5 ,34.4 ,0.0 ,376
Колбаса сыровяленая Дымов салями Милано ,21.0 ,28.0 ,2.0 ,344
Колбаса сыровяленая Мясницкий ряд Милано нарезка ,15.0 ,45.0 ,0.0 ,465
Колбаса сыровяленая полусухая Casademont Fuet Extra ,24.0 ,32.0 ,0.0 ,384
Колбаса сыровяленая полусухая Casademont Fuet Extra с перцем ,22.0 ,32.0 ,0.0 ,376
Колбаса сыровяленая полусухая Parlo Italiano Салями Милано ,10.0 ,55.0 ,0.0 ,540
Колбаса сыровяленая полусухая Salumi di Bosco Салями традиционная ,28.0 ,19.0 ,1.0 ,290
Колбаса сыровяленая полусухая Егорьевская ФКГ с трюфелем ,16.0 ,40.0 ,1.0 ,428
Колбаса сыровяленая сальчичон ,17.0 ,31.0 ,1.1 ,351
Колбаса сыровяленая суджук ,30.3 ,37.9 ,0.0 ,463
Колбаса сыровяленая Сытный Дом Сопресатта из говядины ,18.0 ,35.0 ,0.2 ,402
Колбаса сыровяленая чоризо ,24.1 ,38.3 ,1.9 ,455
Колбаса сырокопченая Ближние горки Тоскана ,25.0 ,30.0 ,0.0 ,370
Колбаса сырокопченая брауншвейгская ,27.7 ,42.2 ,0.2 ,491
Колбаса сырокопченая Доброгост Пепперони ,16.0 ,46.0 ,0.0 ,480
Колбаса сырокопченая Дымов Пепперони ,15.0 ,45.0 ,0.0 ,465
Колбаса сырокопченая зернистая ,9.9 ,62.8 ,0.3 ,606
Колбаса сырокопченая Клинский свиная ,11.0 ,57.3 ,0.0 ,568
Колбаса сырокопченая любительская ,20.9 ,47.8 ,0.0 ,514
Колбаса сырокопченая московская ,24.8 ,41.5 ,0.0 ,473
Колбаса сырокопченая Палермо Егорьевская ФКГ ,16.0 ,42.0 ,0.0 ,446
Колбаса сырокопченая полусухая Велком Чикен салями №2 ,21.0 ,30.0 ,0.0 ,350
Колбаса сырокопченая полусухая Дымов коньячная ,18.0 ,44.0 ,0.0 ,468
Колбаса сырокопченая Раменский деликатес Европейская ,11.0 ,49.0 ,0.0 ,485
Колбаса сырокопченая Раменский деликатес Куриная деликатесная ,16.0 ,44.0 ,2.0 ,470
Колбаса сырокопченая Раменский деликатес Салями Парма ,20.0 ,42.0 ,0.0 ,460
Колбаса сырокопченая Раменский деликатес Сицилийская ,15.0 ,48.0 ,0.0 ,490
Колбаса сырокопченая Салями Итальянская ,11.0 ,63.0 ,0.0 ,631
Колбаса сырокопченая свиная ,13.0 ,57.3 ,0.2 ,568
Колбаса вареная Велком языковая ,14.0 ,17.0 ,0.0 ,210
Колбаса вареная Вязанка классическая ,11.0 ,13.0 ,0.0 ,161
Колбаса вареная диетическая ,12.1 ,13.5 ,0.0 ,170
Колбаса вареная докторская ,12.8 ,22.2 ,1.5 ,257
Колбаса вареная Клинский телячья ,13.0 ,22.0 ,0.0 ,252
Колбаса вареная куриная ,15.5 ,16.2 ,2.3 ,223
Колбаса вареная любительская ,12.2 ,28.0 ,0.1 ,301
Колбаса вареная молочная ,11.7 ,22.8 ,0.2 ,252
Колбаса вареная мортаделла ,16.4 ,25.3 ,3.1 ,331
Колбаса вареная московская ,11.5 ,21.8 ,2.0 ,250
Колбаса вареная русская ,11.8 ,28.9 ,0.0 ,302
Колбаса вареная свиная ,10.8 ,25.8 ,0.5 ,277
Колбаса вареная столичная ,15.1 ,28.7 ,0.0 ,319
Колбаса вареная столовая ,11.1 ,20.2 ,1.9 ,234
Колбаса вареная чайная ,11.7 ,18.4 ,1.9 ,216
Колбаса варено-копченая Востряково из курицы ,19.0 ,11.0 ,0.0 ,179
Колбаса варено-копченая куриная жареная ,19.7 ,17.4 ,1.7 ,371
Колбаса варено-копченая любительская ,17.2 ,39.0 ,0.2 ,420
Колбаса варено-копченая московская ,19.1 ,36.6 ,0.2 ,406
Колбаса варено-копченая Рублёвский Балыковая ,12.0 ,25.0 ,0.0 ,270
Колбаса варено-копченая сервелат ,16.1 ,40.1 ,0.0 ,425
Колбаса варено-копченая сервелат боярский ,14.0 ,21.0 ,0.0 ,269
Колбаса варено-копченая сервелат Велком финский ,15.0 ,25.5 ,0.0 ,290
Колбаса варено-копченая сервелат Вязанка Столичный ,15.0 ,27.0 ,0.0 ,303
Колбаса варено-копченая сервелат Дымов в вакууме ,14.0 ,24.0 ,0.0 ,272
Колбаса варено-копченая сервелат Дымов Ореховый ,13.0 ,38.0 ,0.0 ,394
Колбаса варено-копченая сервелат Клинский Финский ,13.0 ,32.0 ,0.0 ,340
Колбаса варено-копченая сервелат Останкино Зернистый ,10.0 ,37.0 ,0.0 ,385
Колбаса варено-копченая сервелат российский ,13.0 ,39.0 ,1.0 ,410
Колбаса вегетарианская ,21.7 ,12.3 ,1.8 ,207
Колбаса вегетарианская Велком Классическая ,4.0 ,5.0 ,9.0 ,100
Колбаса вегетарианская Велком с грибами ,4.0 ,5.0 ,8.0 ,90
Колбаса вегетарианская горячего копчения Московская Премиум ,20.0 ,22.0 ,8.0 ,210
Колбаса вегетарианская полукопченая Vego с сыром постная ,19.0 ,16.0 ,12.0 ,270
Колбаса ливерная ,14.4 ,28.5 ,2.2 ,326
Колбаса ливерная Атяшево Печеночная ,4.0 ,16.0 ,11.0 ,200
Колбаса ливерная баварская ,11.0 ,18.0 ,2.0 ,210
Колбаса ливерная Окраина традиционная ,13.0 ,19.0 ,6.0 ,250
Колбаса ливерная Рублёвский яичная ,11.0 ,34.0 ,4.0 ,370
Колбаса печеночная домашняя ,15.0 ,22.0 ,0.0 ,258
Колбаса полукопченая Вернер Краковская ,14.0 ,45.0 ,0.0 ,461
Колбаса полукопченая Дымов салями Финская ,10.0 ,47.0 ,0.0 ,463
Колбаса полукопченая закусочная ,15.0 ,33.0 ,2.3 ,366
Колбаса полукопченая краковская ,16.2 ,44.6 ,0.0 ,466
Колбаса полукопченая МД Бородина Краковская ,16.0 ,27.0 ,0.0 ,307
Колбаса полукопченая минская ,17.4 ,23.0 ,2.7 ,287
Колбаса полукопченая одесская ,14.8 ,38.1 ,0.3 ,402
Колбаса полукопченая Останкино салями Венская ,10.0 ,37.0 ,0.0 ,390
Колбаса полукопченая полтавская ,16.4 ,39.0 ,0.0 ,417
Колбаса полукопченая салями любительская ,12.0 ,50.0 ,0.0 ,498
Колбаса полукопченая таллиннская ,17.1 ,33.8 ,0.2 ,373
Колбаса полукопченая украинская ,16.5 ,34.4 ,0.0 ,376
Колбаса сыровяленая Дымов салями Милано ,21.0 ,28.0 ,2.0 ,344
Колбаса сыровяленая Мясницкий ряд Милано нарезка ,15.0 ,45.0 ,0.0 ,465
Колбаса сыровяленая полусухая Casademont Fuet Extra ,24.0 ,32.0 ,0.0 ,384
Колбаса сыровяленая полусухая Casademont Fuet Extra с перцем ,22.0 ,32.0 ,0.0 ,376
Колбаса сыровяленая полусухая Parlo Italiano Салями Милано ,10.0 ,55.0 ,0.0 ,540
Колбаса сыровяленая полусухая Salumi di Bosco Салями традиционная ,28.0 ,19.0 ,1.0 ,290
Колбаса сыровяленая полусухая Егорьевская ФКГ с трюфелем ,16.0 ,40.0 ,1.0 ,428
Колбаса сыровяленая сальчичон ,17.0 ,31.0 ,1.1 ,351
Колбаса сыровяленая суджук ,30.3 ,37.9 ,0.0 ,463
Колбаса сыровяленая Сытный Дом Сопресатта из говядины ,18.0 ,35.0 ,0.2 ,402
Колбаса сыровяленая чоризо ,24.1 ,38.3 ,1.9 ,455
Колбаса сырокопченая Ближние горки Тоскана ,25.0 ,30.0 ,0.0 ,370
Колбаса сырокопченая брауншвейгская ,27.7 ,42.2 ,0.2 ,491
Колбаса сырокопченая Доброгост Пепперони ,16.0 ,46.0 ,0.0 ,480
Колбаса сырокопченая Дымов Пепперони ,15.0 ,45.0 ,0.0 ,465
Колбаса сырокопченая зернистая ,9.9 ,62.8 ,0.3 ,606
Колбаса сырокопченая Клинский свиная ,11.0 ,57.3 ,0.0 ,568
Колбаса сырокопченая любительская ,20.9 ,47.8 ,0.0 ,514
Колбаса сырокопченая московская ,24.8 ,41.5 ,0.0 ,473
Колбаса сырокопченая Палермо Егорьевская ФКГ ,16.0 ,42.0 ,0.0 ,446
Колбаса сырокопченая полусухая Велком Чикен салями №2 ,21.0 ,30.0 ,0.0 ,350
Колбаса сырокопченая полусухая Дымов коньячная ,18.0 ,44.0 ,0.0 ,468
Колбаса сырокопченая Раменский деликатес Европейская ,11.0 ,49.0 ,0.0 ,485
Колбаса сырокопченая Раменский деликатес Куриная деликатесная ,16.0 ,44.0 ,2.0 ,470
Колбаса сырокопченая Раменский деликатес Салями Парма ,20.0 ,42.0 ,0.0 ,460
Колбаса сырокопченая Раменский деликатес Сицилийская ,15.0 ,48.0 ,0.0 ,490
Колбаса сырокопченая Салями Итальянская ,11.0 ,63.0 ,0.0 ,631
Колбаса сырокопченая свиная ,13.0 ,57.3 ,0.2 ,568
Амарант ,13.6 ,7.0 ,69.0 ,371
Амарантовые отруби Di&Di с гречей ,19.0 ,5.5 ,55.0 ,345
Амарантовые отруби Di&Di с ламинарией ,20.4 ,5.1 ,37.0 ,311
Амарантовые отруби Di&Di с топинамбуром ,19.0 ,5.5 ,55.0 ,345
Булгур ,12.3 ,1.3 ,57.6 ,342
Булгур Yelli с белыми грибами ,14.0 ,2.0 ,64.0 ,330
Булгур Готово! с овощами ,13.0 ,1.5 ,67.0 ,330
Булгур Мистраль ,14.2 ,1.1 ,73.4 ,343
Булгур приготовленный ,3.1 ,0.2 ,14.1 ,83
Гарнир Националь бурый рис, киноа и семена льна ,9.3 ,8.2 ,68.6 ,385
Гарнир Националь рис, киноа, тыква ,10.6 ,8.6 ,67.3 ,389
Горох Makfa дробленый в пакетиках ,23.0 ,1.5 ,48.1 ,299
Горох Makfa колотый ,23.0 ,1.5 ,48.1 ,299
Горох Агро-Альянс колотый ,23.0 ,1.0 ,62.0 ,350
Горох маш Ярмарка Платинум ,23.5 ,2.0 ,50.0 ,312
Горох Мистраль Айдахо ,20.8 ,1.4 ,55.2 ,317
Горох Мистраль Орегон ,20.0 ,1.5 ,66.4 ,327
Горох Пассим колотый ,23.0 ,1.6 ,48.1 ,299
Горох Увелка колотый ,20.0 ,2.0 ,67.0 ,360
Готовый завтрак Nestle Kosmostars звездочки и галактики медовые ,7.2 ,5.0 ,76.2 ,400
Гречка Yelli с белыми грибами ,13.0 ,3.5 ,52.0 ,290
Гречка зелёная вареная ,4.0 ,1.0 ,21.0 ,110
Гречка зелёная для проращивания ,10.8 ,3.2 ,54.4 ,295
Гречневая каша вязкая на воде ,3.2 ,0.8 ,17.1 ,90
Гречневая каша из крупы ядрица ,3.0 ,3.4 ,14.6 ,101
Гречневая каша на молоке ,4.2 ,2.3 ,21.6 ,118
Гречневая каша с маслом ,4.5 ,2.3 ,25.0 ,132
Гречневая крупа (продел) ,9.5 ,2.3 ,65.9 ,306
Гречневая крупа (ядрица) ,12.6 ,3.3 ,62.1 ,313
Гречневая крупа (ядрица) зелёная ,10.8 ,3.2 ,56.0 ,296
Гречневая крупа Агро-Альянс Элитная ,13.0 ,3.0 ,68.0 ,350
Гречневая крупа Мистраль зеленая ,13.4 ,3.0 ,68.0 ,328
Гречневая крупа Мистраль ядрица ,13.6 ,3.3 ,65.0 ,353
Гречневая крупа Пассим Алтайская ,12.6 ,2.6 ,68.0 ,329
Гречневая манка Гарнец безглютеновая ,12.5 ,2.5 ,70.0 ,350
Гречневые хлопья ,9.0 ,2.4 ,67.0 ,330
Гречневые хлопья Makfa ,8.0 ,3.0 ,79.0 ,375
Гречневые хлопья Myllyn Paras ,13.0 ,1.7 ,67.5 ,340
Гречневые хлопья Myllyn Paras для каши ,13.0 ,1.7 ,67.5 ,340
Гречневые хлопья Агро-Альянс ,11.0 ,2.0 ,74.0 ,370
Гречневые хлопья Алтайская сказка ,12.8 ,3.4 ,66.1 ,346
Гречневые хлопья Мистраль ,12.6 ,2.3 ,59.0 ,345
Гречневые хлопья Пассим ,9.5 ,2.3 ,65.8 ,322
Каша 4-х зерновая Myllyn Paras ,11.4 ,2.8 ,61.1 ,320
Каша 7 злаков Маtti ,12.0 ,5.0 ,56.0 ,320
Киноа ,14.1 ,6.1 ,57.2 ,368
Киноа Мистраль ,14.0 ,6.0 ,64.0 ,368
Котлеты гречневые Мистраль ,12.0 ,3.0 ,58.0 ,310
Котлеты нутовые Вкусное дело ,20.8 ,1.8 ,49.7 ,288
Котлеты нутовые Мистраль ,12.0 ,12.0 ,53.0 ,360
Котлеты чечевичные Вкусное дело ,19.2 ,2.2 ,54.8 ,307
Крупа Увелка Дружба рис и пшено ,8.0 ,1.0 ,77.0 ,350
Кукурузная крупа ,8.3 ,1.2 ,75.0 ,337
Кукурузная крупа Makfa ,8.3 ,1.2 ,71.0 ,328
Кукурузная крупа Makfa в пакетиках ,8.3 ,1.2 ,71.0 ,328
Кукурузная манка Гарнец безглютеновая ,23.0 ,1.6 ,50.8 ,314
Кукурузные хлопья ,6.9 ,2.5 ,83.6 ,363
Кукурузные хлопья 365 дней ,7.5 ,1.5 ,78.0 ,360
Кукурузные хлопья Алтайская сказка ,8.3 ,1.2 ,75.0 ,325
Кукурузные хлопья На здоровье Кунцево ,6.5 ,1.0 ,89.0 ,390
Кус-кус приготовленный ,3.8 ,0.2 ,21.8 ,112
Кус-кус сухой ,12.8 ,0.6 ,72.4 ,376
Кускус Агро-Альянс ,12.0 ,2.5 ,75.0 ,370
Кускус Готово! с томатами ,13.0 ,1.6 ,73.0 ,350
Льняная каша Лакомства для здоровья с кэробом и кунжутом ,17.0 ,37.0 ,31.0 ,500
Льняная каша с кунжутом ,34.0 ,14.0 ,12.0 ,312
Льняные отруби Dr. Dias ,30.0 ,10.0 ,10.0 ,250
Льняные отруби Dr. Dias с семечкой ,30.0 ,10.0 ,10.0 ,250
Манная каша на воде ,2.5 ,0.2 ,16.8 ,80
Манная каша на молоке ,3.0 ,3.2 ,15.3 ,98
Манная крупа ,10.3 ,1.0 ,67.4 ,328
Манная крупа Makfa ,10.3 ,1.0 ,70.6 ,333
Манная крупа Myllyn Paras ,12.0 ,2.0 ,69.0 ,348
Манная крупа Агро-Альянс ,10.0 ,1.0 ,69.0 ,330
Манная крупа Мистраль Семолина ,14.1 ,1.6 ,69.7 ,348
Манная крупа с отрубями БИО Черный хлеб ,13.1 ,4.6 ,61.5 ,340
Мюсли AXA хрустящие медовые с фруктами и орехами ,7.8 ,13.1 ,56.7 ,376
Мюсли Horeca Select с фруктами и орехами ,11.4 ,7.8 ,56.7 ,363
Мюсли Matti Банан и Шоколад ,7.0 ,13.0 ,62.0 ,390
Мюсли Matti Ежевика и Малина ,7.5 ,13.0 ,62.0 ,390
Амарант ,13.6 ,7.0 ,69.0 ,371
Амарантовые отруби Di&Di с гречей ,19.0 ,5.5 ,55.0 ,345
Амарантовые отруби Di&Di с ламинарией ,20.4 ,5.1 ,37.0 ,311
Амарантовые отруби Di&Di с топинамбуром ,19.0 ,5.5 ,55.0 ,345
Булгур ,12.3 ,1.3 ,57.6 ,342
Булгур Yelli с белыми грибами ,14.0 ,2.0 ,64.0 ,330
Булгур Готово! с овощами ,13.0 ,1.5 ,67.0 ,330
Булгур Мистраль ,14.2 ,1.1 ,73.4 ,343
Булгур приготовленный ,3.1 ,0.2 ,14.1 ,83
Гарнир Националь бурый рис, киноа и семена льна ,9.3 ,8.2 ,68.6 ,385
Гарнир Националь рис, киноа, тыква ,10.6 ,8.6 ,67.3 ,389
Горох Makfa дробленый в пакетиках ,23.0 ,1.5 ,48.1 ,299
Горох Makfa колотый ,23.0 ,1.5 ,48.1 ,299
Горох Агро-Альянс колотый ,23.0 ,1.0 ,62.0 ,350
Горох маш Ярмарка Платинум ,23.5 ,2.0 ,50.0 ,312
Горох Мистраль Айдахо ,20.8 ,1.4 ,55.2 ,317
Горох Мистраль Орегон ,20.0 ,1.5 ,66.4 ,327
Горох Пассим колотый ,23.0 ,1.6 ,48.1 ,299
Горох Увелка колотый ,20.0 ,2.0 ,67.0 ,360
Готовый завтрак Nestle Kosmostars звездочки и галактики медовые ,7.2 ,5.0 ,76.2 ,400
Гречка Yelli с белыми грибами ,13.0 ,3.5 ,52.0 ,290
Гречка зелёная вареная ,4.0 ,1.0 ,21.0 ,110
Гречка зелёная для проращивания ,10.8 ,3.2 ,54.4 ,295
Гречневая каша вязкая на воде ,3.2 ,0.8 ,17.1 ,90
Гречневая каша из крупы ядрица ,3.0 ,3.4 ,14.6 ,101
Гречневая каша на молоке ,4.2 ,2.3 ,21.6 ,118
Гречневая каша с маслом ,4.5 ,2.3 ,25.0 ,132
Гречневая крупа (продел) ,9.5 ,2.3 ,65.9 ,306
Гречневая крупа (ядрица) ,12.6 ,3.3 ,62.1 ,313
Гречневая крупа (ядрица) зелёная ,10.8 ,3.2 ,56.0 ,296
Гречневая крупа Агро-Альянс Элитная ,13.0 ,3.0 ,68.0 ,350
Гречневая крупа Мистраль зеленая ,13.4 ,3.0 ,68.0 ,328
Гречневая крупа Мистраль ядрица ,13.6 ,3.3 ,65.0 ,353
Гречневая крупа Пассим Алтайская ,12.6 ,2.6 ,68.0 ,329
Гречневая манка Гарнец безглютеновая ,12.5 ,2.5 ,70.0 ,350
Гречневые хлопья ,9.0 ,2.4 ,67.0 ,330
Гречневые хлопья Makfa ,8.0 ,3.0 ,79.0 ,375
Гречневые хлопья Myllyn Paras ,13.0 ,1.7 ,67.5 ,340
Гречневые хлопья Myllyn Paras для каши ,13.0 ,1.7 ,67.5 ,340
Гречневые хлопья Агро-Альянс ,11.0 ,2.0 ,74.0 ,370
Гречневые хлопья Алтайская сказка ,12.8 ,3.4 ,66.1 ,346
Гречневые хлопья Мистраль ,12.6 ,2.3 ,59.0 ,345
Гречневые хлопья Пассим ,9.5 ,2.3 ,65.8 ,322
Каша 4-х зерновая Myllyn Paras ,11.4 ,2.8 ,61.1 ,320
Каша 7 злаков Маtti ,12.0 ,5.0 ,56.0 ,320
Киноа ,14.1 ,6.1 ,57.2 ,368
Киноа Мистраль ,14.0 ,6.0 ,64.0 ,368
Котлеты гречневые Мистраль ,12.0 ,3.0 ,58.0 ,310
Котлеты нутовые Вкусное дело ,20.8 ,1.8 ,49.7 ,288
Котлеты нутовые Мистраль ,12.0 ,12.0 ,53.0 ,360
Котлеты чечевичные Вкусное дело ,19.2 ,2.2 ,54.8 ,307
Крупа Увелка Дружба рис и пшено ,8.0 ,1.0 ,77.0 ,350
Кукурузная крупа ,8.3 ,1.2 ,75.0 ,337
Кукурузная крупа Makfa ,8.3 ,1.2 ,71.0 ,328
Кукурузная крупа Makfa в пакетиках ,8.3 ,1.2 ,71.0 ,328
Кукурузная манка Гарнец безглютеновая ,23.0 ,1.6 ,50.8 ,314
Кукурузные хлопья ,6.9 ,2.5 ,83.6 ,363
Кукурузные хлопья 365 дней ,7.5 ,1.5 ,78.0 ,360
Кукурузные хлопья Алтайская сказка ,8.3 ,1.2 ,75.0 ,325
Кукурузные хлопья На здоровье Кунцево ,6.5 ,1.0 ,89.0 ,390
Кус-кус приготовленный ,3.8 ,0.2 ,21.8 ,112
Кус-кус сухой ,12.8 ,0.6 ,72.4 ,376
Кускус Агро-Альянс ,12.0 ,2.5 ,75.0 ,370
Кускус Готово! с томатами ,13.0 ,1.6 ,73.0 ,350
Льняная каша Лакомства для здоровья с кэробом и кунжутом ,17.0 ,37.0 ,31.0 ,500
Льняная каша с кунжутом ,34.0 ,14.0 ,12.0 ,312
Льняные отруби Dr. Dias ,30.0 ,10.0 ,10.0 ,250
Льняные отруби Dr. Dias с семечкой ,30.0 ,10.0 ,10.0 ,250
Манная каша на воде ,2.5 ,0.2 ,16.8 ,80
Манная каша на молоке ,3.0 ,3.2 ,15.3 ,98
Манная крупа ,10.3 ,1.0 ,67.4 ,328
Манная крупа Makfa ,10.3 ,1.0 ,70.6 ,333
Манная крупа Myllyn Paras ,12.0 ,2.0 ,69.0 ,348
Манная крупа Агро-Альянс ,10.0 ,1.0 ,69.0 ,330
Манная крупа Мистраль Семолина ,14.1 ,1.6 ,69.7 ,348
Манная крупа с отрубями БИО Черный хлеб ,13.1 ,4.6 ,61.5 ,340
